No,Event Name,Metrics ID & Name (STG),propertyNames,Metrics filter,propertyValues,Incremented By (STG),Status,Metrics ID & Name (Prod),Attributes (Prod),Metrics filter,Value,Incremented By (PROD),Status,Implemented On,Test Results,Comment
1,Token Purchased,token-purchased,-,equals,,-,Added,token-purchased,-,,,-,Added,All,,
2,Token Purchased,token-purchased-thb-amount,"product (thb), 
topup_amount (amount)",equals,,topup_amount,Added,token-purchased-amount-thb,"product (thb), 
topup_amount (amount)",,,topup_amount,Added,All,,
3,Token Purchased,token-purchased-thb-amount-freedom-cafe,"product (thb), 
topup_amount (amount), 
community_name (freedom cafe)",equals,,topup_amount,Added,token-purchased-amount-thb-freedom-cafe,"product (thb), 
topup_amount (amount), 
community_name (freedom cafe)",,,topup_amount,Added,Freedom Cafe,,
4,Token Purchased,token-purchased-amount-thb-tomyumthai,"product (thb), 
topup_amount (amount), 
community_name (tomyumthai staging)",equals,,topup_amount,Added,token-purchased-amount-thb-tomyumthai,"product (thb), 
topup_amount (amount), 
community_name (tomyumthai),
community_id(335)",,,topup_amount,Added,Tomyum Koong,,
5,Fdp Payment Completed,,,equals,,,Added,token-purchased-amount-thb-baan-unrak-foundation,"currency(THB), order_amount(amount), merchant_name (baan unrak foundation)",,,order_amount,Testing Done,Baan Unrak Foundation,,Change to FDP Payment Event
6,FDW Email Verified,fdw-email-verified,-,equals,,-,Added,fdw-email-verified,-,,,-,Added,Freedom World,,
7,FDW Signed In,-,,equals,,,Added,fdw-signed-in,-,,,-,Added,Freedom World,,
8,FDW Signed Up,-,,equals,,,Added,fdw-signed-up,-,,,-,Added,Freedom World,,
9,Community Joined,community-joined,-,equals,,-,Added,community-joined,-,,,-,Added,All,,
10,Community Joined,community-joined-tomyumthai-staging,community_name (tomyumthai staging),equals,,-,Added,community-joined-tomyumthai,community_name (tomyumthai),,,-,Added,Tomyum Koong,,
11,Community Joined,community-joined-yiz-entertainment-staging,community_name (yiz entertainment staging),equals,,-,Added,community-joined-yiz-entertainment,community_name (yiz entertainment),,,-,Added,Yiz Entertaiment,,
12,Community Joined,-,,equals,,,Added,community-joined-mystic-valley-festival,community_name (Mystic Valley Festival),,,-,Added,Mystic Valley,,
13,Community Joined,-,,equals,,,Added,community-joined-mystic-valley-photobooth,,,,-,Added,Mystic Valley,,
14,Community Joined,-,,equals,,,Added,community-joined-mystic-valley-fairy-quests,,,,-,Added,Mystic Valley,,
15,Community Joined,-,,equals,,,Added,community-joined-mystic-valley-fairy-quest,,,,-,Added,Mystic Valley,,
16,Card Onboarded,card-onboarded,-,equals,,-,Added,card-onboarded,,,,,Added,Freedom Card,,
17,Card Topped Up,card-topped-up,-,equals,,-,Added,card-topped-up,-,,,-,Added,Freedom Card,,
18,Card Topped Up,card-topped-up-amount-thb,"amount (amount),
product (thb)",equals,,amount,Added,card-topped-up-amount-thb,"amount (amount),
product (thb)",,,amount,Added,Freedom Card,,
19,Card Spent,card-spent,-,equals,,-,Added,card-spent,-,,,-,Added,Freedom Card,,
20,Card Spent,card-spent-amount,amount (amount),equals,,amount,Added,card-spent-amount,amount (amount),,,amount,Added,Freedom Card,,
21,Card Spent,-,,equals,,,,card-spent-amount-september,amount (amount),,,amount,Added,Freedom Card,,
22,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-(bhp),"amount (amount),
merchant (au bon pain (BHP))",,,amount,Added,Freedom Card,,AU BON PAIN (BHP)
23,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-(stl),"amount (amount),
merchant (au bon pain (STL))",,,amount,Added,Freedom Card,,AU BON PAIN (STL)
24,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-(index-pattaya),"amount (amount),
merchant (au bon pain (INDEX PATTAYA)",,,amount,Added,Freedom Card,,AU BON PAIN(INDEX PATTAYA)
25,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-(kvl),"amount (amount),
merchant (au bon pain (KVL))",,,amount,Added,Freedom Card,,AU BON PAIN(KVL)
26,Card Spent,card-spent-amount-au-bon-pain-(the-nine),"amount (amount),
merchant (au bon pain (the nine))",equals,,amount,Added,card-spent-amount-au-bon-pain-the-nine,"amount (amount),
merchant (au bon pain (the nine))",,,amount,Added,Freedom Card,,AU BON PAIN (THE NINE)
27,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-rama9-hosp,"amount (amount),
merchant (au bon pain-rama9 hosp.))",,,amount,Added,Freedom Card,,AU BON PAIN-RAMA9 HOSP.
28,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-smv,"amount (amount),
merchant (au bon pain (SMV))",,,amount,Added,Freedom Card,,AU BON PAIN (SMV)
29,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-skh,"amount (amount),
merchant (au bon pain (SKH))",,,amount,Added,Freedom Card,,AU BON PAIN (SKH)
30,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-sm2,"amount (amount),
merchant (au bon pain (SM2))",,,amount,Added,Freedom Card,,AU BON PAIN (SM2)
31,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-scb,"amount (amount),
merchant (au bon pain (SCB))",,,amount,Added,Freedom Card,,AU BON PAIN (SCB)
32,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-brr,"amount (amount),
merchant (au bon pain (BRR))",,,amount,Added,Freedom Card,,AU BON PAIN (BRR)
33,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-smtv-chonburi,"amount (amount),
merchant (au bon pain-smtv chonburi)",,,amount,Added,Freedom Card,,AU BON PAIN-SMTV CHONBURI
34,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-tisco,"amount (amount),
merchant (au bon pain (tisco))",,,amount,Added,Freedom Card,,AU BON PAIN (TISCO)
35,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-rsu-sukhumvi,"amount (amount),
merchant (au bon pain (RSU sukhumvi)",,,amount,Added,Freedom Card,,AU BON PAIN (RSU SUKHUMVI
36,Card Spent,,,equals,,,Added,card-spent-amount-au-bon-pain-bkp,"amount (amount),
merchant (au bon pain (BKP))",,,amount,Added,Freedom Card,,AU BON PAIN (BKP)
