No,metric,entityId,name,propagateToSubEntity,platform,eventName,propertyNames,propertyValues,incrementalProperty,Environment,Status,Testing Status,Testing Results Link
1,first-time-played-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,first-time-played-the-scape,true,segment,Game Match Resulted,,,,STG,Added,,
2,first-time-played-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,first-time-played-the-scape,true,segment,Game Match Resulted,,,,PROD,Added,,
3,defeat-monster-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,defeat-monster-the-scape,true,segment,Game Match Resulted,monster_killed_total,amount,monster_killed_total,STG,Added,,
4,defeat-monster-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-the-scape,true,segment,Game Match Resulted,monster_killed_total,amount,monster_killed_total,PROD,Added,,
5,wearable-equipped-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,wearable-equipped-the-scape,true,segment,Avatar Wearable Equipped,"wearable_type, wearable_type, wearable_type, wearable_type, wearable_type, wearable_type, wearable_type, wearable_type","Head, Chest, Cloak, Gloves, Pants, Boots, Accessory, Weapon",,STG,Added,,
6,wearable-equipped-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,wearable-equipped-the-scape,true,segment,Avatar Wearable Equipped,,,,PROD,Added,,
7,bio-materials-collected-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,bio-materials-collected-the-scape,true,segment,Game Match Resulted ,received_material_STG_BOG,amount,received_material_STG_BOG,STG,Added,,
8,bio-materials-collected-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,bio-materials-collected-the-scape,true,segment,Game Match Resulted ,received_materials_BIOG,amount,received_materials_BIOG,PROD,Added,,
9,item-purchased-mystery-box-skin-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,item-purchased-mystery-box-skin-the-scape,true,segment,Item Purchased,"community_id, merchandise_id","35, 553",,STG,Added,,
10,item-purchased-mystery-box-skin-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,item-purchased-mystery-box-skin-the-scape,true,segment,Item Purchased,"community_id, merchandise_id, merchandise_id ","35, 885, 1579",,PROD,Added,,
11,new-skin-equipped-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,new-skin-equipped-the-scape,true,segment,Avatar Skin Changed,is_default_string,false,,STG,Added,,
12,new-skin-equipped-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,new-skin-equipped-the-scape,true,segment,Avatar Skin Changed,is_default_string,false,,PROD,Added,,
13,reach-level-4-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,reach-level-4-the-scape,true,segment,Game Match Resulted,player_level,4,,STG,Added,,
14,reach-level-4-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,reach-level-4-the-scape,true,segment,Game Match Resulted,player_level,4,,PROD,Added,,
15,defeat-cluster-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,defeat-cluster-the-scape,true,segment,Game Match Resulted,"monster_id,
monster_id, monster_id, monster_id, monster_id,
monster_id, monster_id, monster_id, monster_id,
monster_id, monster_id, monster_id","9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20",,STG,Added,,
16,defeat-cluster-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-cluster-the-scape,true,segment,Game Match Resulted,"monster_name, match_result","Shard Cluster, Win",,PROD,Added,,
17,win-games-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,win-games-the-scape,true,segment,Game Match Resulted,match_result,Win,,STG,Added,,
18,win-games-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,win-games-the-scape,true,segment,Game Match Resulted,match_result,Win,,PROD,Added,,
19,defeat-monster-scape-harpy-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,defeat-monster-scape-harpy-the-scape,true,segment,Game Match Resulted,monster_id,3,,STG,Added,,
20,defeat-monster-scape-harpy-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-scape-harpy-the-scape,true,segment,Game Match Resulted,monster_killed_scape_harpy,amount,monster_killed_scape_harpy,PROD,Added,,
21,defeat-monster-naidu-puppeteer-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,defeat-monster-naidu-puppeteer-the-scape,true,segment,Game Match Resulted,monster_id,6,,STG,Added,,
22,defeat-monster-naidu-puppeteer-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-naidu-puppeteer-the-scape,true,segment,Game Match Resulted,monster_killed_naidu_puppeteer,amount,monster_killed_naidu_puppeteer,PROD,Added,,
23,reach-level-7-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,reach-level-7-the-scape,true,segment,Game Match Resulted,player_level,7,,STG,Added,,
24,reach-level-7-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,reach-level-7-the-scape,true,segment,Game Match Resulted,player_level,7,,PROD,Added,,
25,defeat-monster-dominion-scouts-the-scape,e-9946bedf-3c65-4111-b296-ca6fd2a3a738,defeat-monster-dominion-scouts-the-scape,true,segment,Game Match Resulted,monster_id,4,,STG,Added,,
26,defeat-monster-dominion-scouts-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-dominion-scouts-the-scape,true,segment,Game Match Resulted,monster_killed_dominion_scout,amount,monster_killed_dominion_scout,PROD,Added,,
