No,metric,entityId,name,propagateToSubEntity,platform,eventName,propertyNames,propertyValues,incrementalProperty,Environment,Status,Testing Status,Testing Results Link
1,defeat-monster-wraith-v2-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-wraith-v2-the-scape,true,segment,Game Match Resulted,"monster_killed_WRAITH, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_WRAITH,PROD,Added,,
2,defeat-monster-specter-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-specter-the-scape,true,segment,Game Match Resulted,"monster_killed_SPECTER, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_SPECTER,PROD,Added,,
3,defeat-monster-scape-harpy-the-scape-v3,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-scape-harpy-the-scape-v3,true,segment,Game Match Resulted,"monster_killed_scape_harpy, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_scape_harpy,PROD,Added,,
4,defeat-monster-harpy-skyclaws-the-scape-v3,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-harpy-skyclaws-the-scape-v3,true,segment,Game Match Resulted,"monster_killed_harpy_skyclaw, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_harpy_skyclaw,PROD,Added,,
5,defeat-monster-soulgazer-the-scape-v2,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-soulgazer-the-scape-v2,true,segment,Game Match Resulted,"monster_killed_SOULGAZER, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_SOULGAZER,PROD,Added,,
6,defeat-monster-soulstarer-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-soulstarer-the-scape,true,segment,Game Match Resulted,"monster_killed_SOULSTARER, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_SOULGAZER,PROD,Added,,
7,defeat-monster-ghajar-explorers-the-scape-v4,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-ghajar-explorers-the-scape-v4,true,segment,Game Match Resulted,"monster_killed_GHAJAR, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_GHAJAR,PROD,Added,,
8,defeat-monster-ghajar-abductors-the-scape-v4,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-ghajar-abductors-the-scape-v4,true,segment,Game Match Resulted,"monster_killed_ghajar_abductor, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_ghajar_abductor,PROD,Added,,
9,defeat-monster-blob-v3-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-blob-v3-the-scape,true,segment,Game Match Resulted,"monster_killed_BLOB, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_BLOB,PROD,Added,,
10,defeat-monster-megablob-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-megablob-the-scape,true,segment,Game Match Resulted,"monster_killed_MEGABLOB, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_MEGABLOB,PROD,Added,,
11,defeat-monster-shard-gobbler-v3-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-shard-gobbler-v3-the-scape,true,segment,Game Match Resulted,"monster_killed_shard_gobbler, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_shard_gobbler,PROD,Added,,
12,defeat-monster-gobbler-abominations-the-scape-v3,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-gobbler-abominations-the-scape-v3,true,segment,Game Match Resulted,"monster_killed_gobbler_abomination, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_gobbler_abomination,PROD,Added,,
13,defeat-monster-dominion-scouts-the-scape-v4,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-dominion-scouts-the-scape-v4,true,segment,Game Match Resulted,"monster_killed_dominion_scout, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_dominion_scout,PROD,Added,,
14,defeat-monster-dominion-lancers-the-scape-v4,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-dominion-lancers-the-scape-v4,true,segment,Game Match Resulted,"monster_killed_dominion_lancer, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_dominion_lancer,PROD,Added,,
15,defeat-protectorate-knights-v3-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-protectorate-knights-v3-the-scape,true,segment,Game Match Resulted,"monster_killed_protectorate_knight, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_protectorate_knight,PROD,Added,,
16,defeat-monster-protectorate-templar-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-protectorate-templar-the-scape,true,segment,Game Match Resulted,"monster_killed_PROTECTORATE_TEMPLAR, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_PROTECTORATE_TEMPLAR,PROD,Added,,
17,defeat-monster-naidu-puppeteer-the-scape-v4,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-naidu-puppeteer-the-scape-v4,true,segment,Game Match Resulted,"monster_killed_naidu_puppeteer, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_naidu_puppeteer,PROD,Added,,
18,defeat-monster-naidu-acolytes-the-scape-v2,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-monster-naidu-acolytes-the-scape-v2,true,segment,Game Match Resulted,"monster_killed_naidu_acolyte, match_result, is_nexus, is_fds_node, is_rifts_mode","amount, Win, false, false, false",monster_killed_naidu_acolyte,PROD,Added,,
19,defeat-cluster-v3-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-cluster-v3-the-scape,true,segment,Game Match Resulted,"monster_name, match_result","Shard Cluster, Win",,PROD,Added,,
20,defeat-enriched-cluster-the-scape,e-a0bc4913-3ba1-4424-9e35-7968386e645b,defeat-enriched-cluster-the-scape,true,segment,Game Match Resulted,"monster_name, match_result","Enriched Shard Cluster, Win",,PROD,Added,,
