id,name
35,Freedom
37,"Freedom Cafe"
38,"Freedom Restaurant"
39,"Raja Ferry"
40,"EPIC Entertainment"
41,Xpheres
42,"BKK CF"
43,"Mustache Bangkok (Inactive)"
45,"Sobta Next"
47,"Amari Watergate Bangkok"
48,"Mystic Valley Festival"
49,"Octo Sukhumvit"
53,"Happy Fish Asiatique"
54,"Nihon Saiseisakaba"
55,Sobtacafe
56,"Shu Daxia"
57,Sukapap
58,theCOMMONS
59,Bitazzans
60,"TERO Entertainment"
61,"SALA Hospitality Group"
62,"Heaven of Weed"
63,BitSpace
64,"Bored Town"
65,"Satit Prasarnmit Int. Programme"
66,"Gulp BKK"
67,"Freedom Mall"
68,"Rosie Master by Madam Marie"
69,"Bitcoin Addict Thailand"
70,"Chinese Business Chamber (Mauritius)"
71,"Lincha Hot Pot"
72,"Mee Khwam Sook"
73,"Dof Pay"
74,TOTO_B
75,"Tung Community"
76,rpy
77,Nobbie
78,"Da Box Store"
79,Seenspace
80,"Lada Test"
81,Centara
82,"Freedom Fashion"
83,SOFTEVENTS
84,"Anek FreeWifi Company"
85,"Burapha University SO"
86,"TOTO Be & 13"
87,"Tung Community 02"
88,"Tung Community 3"
89,"Tun Community 4"
90,"David's World"
91,"Community's 1"
92,"Community's 2"
93,Test
94,"Community's 3"
95,"UOSurrey ThaiSoc 23'24"
96,CeylonCash
97,"Imperial Thai Society"
98,"Sandboxen Community"
99,"CMU Student Union"
100,FUSE
101,Heng
102,"Thai Nichi Club"
103,TES
104,"eSport World"
105,"Buddha's Kush Street"
106,Test123456
107,FunWorld
108,"Ricco Wealth"
109,"Test 3"
110,TheFuseTeam
111,"Happy Point"
112,"Bristol Thai Society"
113,"Freedom Run"
114,"Malaysian Thai Chamber of Commerce"
115,"PSU Student Organization"
116,"Tung Community 03"
117,"Bath Thai Society"
118,"Bitazza Thailand"
119,"Sami's Community"
120,"Bravo BKK"
121,Reza
122,Satsetjp
123,"Airdrop Finder"
124,Binance
125,Rungrot
126,Rungrot44
127,SCH
128,TestLN
129,Pingpong
130,Richland
131,Aant
132,"UOR Freedom Community"
133,"University of Moratuwa"
134,"Hello test"
135,"University of Ruhuna"
136,UOR
137,"University of Uva Wellassa"
138,NSBM
139,"Lumphini Runners Club"
140,Bdg
141,"Ocean University"
142,"University of Colombo"
143,"EDM Addicts"
144,BaBa747
145,Token
146,SLIIT
147,"Hello It's me Frame"
148,"PATTAWAN AIMAIAM"
149,Frame02
150,Eaknarak9
151,Kmall
152,"Naksu Community"
153,"Cool Community"
154,"Sobers Fund"
155,coffee
156,"Devs LK"
157,Pkk
158,"Community 1"
159,Dota
160,"Food Sukhumvit"
161,"The Boston"
162,"Freedom Bot Dev Community"
163,"Gold Trader"
164,Ksilpawi
165,"The Best Food In Sukhumvit"
166,"Freedom Dream"
167,"Hardstyle Thailand"
168,Headbanger
169,CNX
170,game209114
171,SUPREME
172,Beyondza
173,"Pug lovers"
174,"My Test Community"
175,"Dog Lovers"
176,Zadi080
177,"Freedom Planets"
178,NATIONAL3
179,"My Club"
180,"Trader United"
181,"Segment 2"
182,"Segment Test"
183,ArisaJirapaandfriends
184,QbitAI
185,Bizhub
186,Beyondzaworld
187,etcoinsparty
188,HomeShopping
189,"Kim's Kollective"
190,Footballista
191,"Trance Lovers Thailand"
192,"Deen Coin"
193,DeenCoin
194,"DC TOKEN"
195,"DeenCoin Thailand"
196,"DeenCoin Dc Token"
197,"CMM Community"
198,Community
199,URBAN
200,DNTLN
201,"Camera Wifi SD Card 64GB"
202,Koravick
203,"Pixiz world"
204,ECO
205,"Community's 4"
206,"Community's 5"
207,"Community's 6"
208,"Paopao Racing Shop"
209,Patherine
210,wqe
211,Fun
212,"Freedom Fashion X"
213,Testing
214,Testing023
215,gosh
216,Suwanjatuporn
217,Kelaniya
218,M8
219,FANSummer
220,"Festicket Hub"
221,"Baby Rent Coin"
222,WisdomWave
223,CryptoAnbu
224,BOOMw
225,"Community's 7"
226,"Community's 8"
227,"Club2 VIP"
228,Travio
229,Toonkhong
230,"VERSO HACK"
231,"Community's 9"
232,Sample
233,"Ocean Burger"
234,Lin
235,pekopung
236,"WE ECO"
237,"Happyseoul Creator"
238,"Jaes Brand"
